Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012,crime_local_rank_2006,crime_local_rank_2009,crime_local_rank_2012
S01003150,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,1675,2227,1590,327,381,310
S01003035,Glenwood South,Linn,Glasgow Cathcart,210,561,1606,42,102,311
S01003346,Craigton,Govan,Glasgow Govan,1404,2078,1607,286,364,312
S01003586,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,1846,1827,1616,354,328,313
S01003184,Pollok North and East,Craigton,Glasgow Pollok,685,792,1631,160,137,314
S01003630,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,2082,1382,1637,392,262,315
S01003104,Pollokshaws,Newlands/Auldburn,Glasgow Cathcart,1754,1331,1638,339,247,316
S01003690,Knightswood Park West,Drumchapel/Anniesland,Glasgow Anniesland,2225,3528,1653,413,543,317
S01003392,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,502,1181,1655,110,218,318
S01003546,Cowlairs and Port Dundas,Canal,Glasgow Maryhill,608,721,1657,138,126,319
S01003049,Castlemilk,Linn,Glasgow Cathcart,2212,2105,1661,410,366,320
S01003718,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,1534,943,1664,307,172,321
S01003512,Craigend and Ruchazie,North East,Glasgow Baillieston,1193,1236,1665,250,230,322
S01003355,Gallowgate North and Bellgrove,Calton,Glasgow Springburn,1105,1465,1666,234,279,323
S01003689,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,629,1395,1673,147,265,324
S01003480,Whiteinch,Partick West,Glasgow Kelvin,1529,795,1674,306,139,325
S01003695,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,2160,1208,1682,399,223,326
S01003096,Kingspark South,Linn,Glasgow Cathcart,2182,1976,1690,404,352,327
S01003716,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,725,1363,1697,168,257,328
S01003062,Darnley North,Greater Pollok,Glasgow Pollok,698,1158,1701,163,210,329
S01003652,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,3431,1906,1705,549,341,330
S01003481,Partick,Partick West,Glasgow Kelvin,2407,2539,1711,434,417,331
S01003686,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,2021,1426,1716,383,269,332
S01003407,Carntyne,East Centre,Glasgow Springburn,910,3430,1721,199,533,333
S01003421,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,1497,1450,1736,297,275,334
S01003625,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,499,1385,1740,108,263,335
S01003261,Cardonald West and Central,Craigton,Glasgow Pollok,2684,4106,1747,464,595,336
S01003386,Drumoyne and Shieldhall,Govan,Glasgow Govan,1902,875,1750,369,159,337
S01003710,Summerston Central and West,Canal,Glasgow Maryhill,2683,1334,1754,463,248,338
S01003098,Cathcart,Langside,Glasgow Cathcart,3335,3302,1761,535,514,339
S01003526,North Kelvin,Hillhead,Glasgow Kelvin,2638,1387,1773,459,264,340
S01003688,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,928,692,1775,204,120,341
S01003701,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,2497,2528,1778,439,415,342
S01003199,Shettleston South,Shettleston,Glasgow Shettleston,1228,2782,1786,256,443,343
S01003185,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,516,1063,1788,116,194,344
S01003300,Baillieston East,Baillieston,Glasgow Baillieston,3777,2907,1794,577,461,345
S01003127,Kingspark North,Langside,Glasgow Rutherglen,2263,3697,1796,418,560,346
S01003692,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,2931,2650,1806,497,425,347
S01003228,Braidfauld,Shettleston,Glasgow Shettleston,1506,1637,1835,299,308,348
S01003696,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,2893,4611,1838,493,637,349
S01003455,Craigend and Ruchazie,North East,Glasgow Baillieston,346,844,1839,71,152,350
S01003243,Cardonald West and Central,Craigton,Glasgow Pollok,1848,1564,1842,355,299,351
S01003207,Pollokshields East,Pollokshields,Glasgow Govan,3236,2367,1850,528,395,352
S01003331,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,1318,1161,1884,274,213,353
S01003174,Govanhill West,Southside Central,Glasgow Shettleston,852,1337,1889,187,249,354
S01003451,Hillhead,Partick West,Glasgow Kelvin,2401,2494,1892,433,412,355
S01003368,Gallowgate North and Bellgrove,Calton,Glasgow Shettleston,1211,3023,1895,252,474,356
S01003137,Shawlands East,Langside,Glasgow Govan,3494,2933,1897,554,464,357
S01003144,Crookston North,Greater Pollok,Glasgow Pollok,1507,1272,1901,300,239,358
S01003265,Cardonald West and Central,Craigton,Glasgow Pollok,1795,1530,1912,348,292,359
S01003298,Hillington,Craigton,Glasgow Pollok,1876,3044,1917,363,476,360
S01003254,Dalmarnock,Calton,Glasgow Shettleston,1855,1970,1919,358,351,361
S01003268,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,1371,2226,1920,282,380,362
S01003165,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,1313,1219,1928,273,227,363
S01003506,Firhill,Hillhead,Glasgow Maryhill,1989,2373,1931,378,397,364
S01003225,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,2168,3310,1936,400,516,365
S01003450,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,561,1162,1937,129,214,366
S01003553,Keppochhill,Canal,Glasgow Maryhill,1917,494,1941,370,88,367
S01003497,Kelvingrove and University,Partick West,Glasgow Kelvin,4739,3682,1944,652,557,368
S01003575,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,2190,1875,1954,407,335,369
S01003060,Glenwood North,Linn,Glasgow Cathcart,2183,2713,1966,405,433,370
S01003585,Ruchill,Maryhill/Kelvin,Glasgow Maryhill,1851,2335,1967,357,393,371
S01003136,Mount Florida,Langside,Glasgow Cathcart,1585,2236,1976,317,383,372
S01003472,Sighthill,Springburn,Glasgow Springburn,1285,3081,1982,266,481,373
S01003190,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,720,1356,1983,167,255,374
S01003058,Darnley West,Greater Pollok,Glasgow Pollok,538,1689,1989,123,313,375
S01003171,Maxwell Park,Pollokshields,Glasgow Govan,2067,3993,1991,391,585,376
S01003655,Balornock,North East,Glasgow Springburn,1244,1897,1993,260,340,377
S01003275,Shettleston North,Shettleston,Glasgow Shettleston,454,914,1998,97,163,378
S01003334,Penilee,Craigton,Glasgow Pollok,1790,1416,2008,347,267,379
S01003121,Crookston South,Greater Pollok,Glasgow Pollok,1458,1189,2016,293,219,380
S01003175,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,2553,2618,2018,446,423,381
S01003032,Glenwood South,Linn,Glasgow Cathcart,513,1159,2027,115,211,382
