Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012,crime_local_rank_2006,crime_local_rank_2009,crime_local_rank_2012
S01003644,Springburn,Springburn,Glasgow Springburn,1392,790,655,285,136,133
S01003435,Central Easterhouse,North East,Glasgow Baillieston,354,399,657,74,72,134
S01003222,Pollokshields East,Pollokshields,Glasgow Govan,2743,1241,659,472,232,135
S01003256,Pollokshields West,Pollokshields,Glasgow Govan,775,651,661,178,116,136
S01003706,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,1639,581,663,323,108,137
S01003271,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,350,704,667,72,122,138
S01003324,Ibrox East and Cessnock,Govan,Glasgow Govan,344,544,670,70,99,139
S01003469,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,1151,1559,673,242,298,140
S01003351,Ibrox East and Cessnock,Govan,Glasgow Govan,280,358,674,57,67,141
S01003459,Craigend and Ruchazie,North East,Glasgow Springburn,653,1376,675,156,259,142
S01003557,Barmulloch,North East,Glasgow Springburn,577,1351,682,132,252,143
S01003399,City Centre East,Anderston/City,Glasgow Kelvin,191,318,690,38,61,144
S01003650,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,930,732,692,205,128,145
S01003571,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,1749,1109,694,338,202,146
S01003099,Nitshill,Greater Pollok,Glasgow Pollok,644,631,695,151,115,147
S01003376,Barlanark,Baillieston,Glasgow Baillieston,739,217,708,172,40,148
S01003711,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,587,436,709,133,80,149
S01003154,Shawlands East,Langside,Glasgow Govan,1889,1368,713,368,258,150
S01003705,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,1721,714,714,332,124,151
S01003322,Ibrox East and Cessnock,Govan,Glasgow Govan,573,530,718,131,95,152
S01003432,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,1302,1051,722,269,191,153
S01003239,Cardonald South and East,Craigton,Glasgow Pollok,2047,921,724,386,165,154
S01003056,Darnley East,Greater Pollok,Glasgow Pollok,589,985,737,134,180,155
S01003576,Kelvinside and Jordanhill,Hillhead,Glasgow Kelvin,1012,1501,744,219,286,156
S01003167,Pollok South and West,Greater Pollok,Glasgow Pollok,1120,1849,748,236,331,157
S01003635,Anniesland East,Drumchapel/Anniesland,Glasgow Anniesland,437,1040,750,92,189,158
S01003118,Pollokshaws,Newlands/Auldburn,Glasgow Govan,231,417,752,47,75,159
S01003290,Tollcross,Shettleston,Glasgow Shettleston,1631,1245,753,322,233,160
S01003456,Central Easterhouse,North East,Glasgow Baillieston,212,306,760,43,57,161
S01003515,Blackhill and Barmulloch East,North East,Glasgow Springburn,984,841,761,214,150,162
S01003683,Blairdardie East,Garscadden/Scotstounhill,Glasgow Anniesland,1491,1217,763,296,226,163
S01003217,Dalmarnock,Calton,Glasgow Shettleston,399,600,767,82,109,164
S01003504,Kelvingrove and University,Hillhead,Glasgow Kelvin,859,1301,769,189,244,165
S01003408,Anderston,Anderston/City,Glasgow Kelvin,1099,1938,771,232,345,166
S01003293,Shettleston North,Shettleston,Glasgow Shettleston,877,843,776,192,151,167
S01003272,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,1439,1150,778,291,208,168
S01003204,Pollok North and East,Craigton,Glasgow Pollok,545,1133,789,126,203,169
S01003502,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,368,1007,796,78,186,170
S01003629,Possil Park,Canal,Glasgow Maryhill,1724,1525,797,334,291,171
S01003200,Govanhill West,Southside Central,Glasgow Shettleston,233,606,808,48,112,172
S01003248,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,2329,1090,816,428,199,173
S01003246,Shettleston North,Shettleston,Glasgow Shettleston,1983,2257,833,377,386,174
S01003188,Govanhill West,Southside Central,Glasgow Shettleston,1098,1461,839,231,278,175
S01003514,Dowanhill,Hillhead,Glasgow Kelvin,635,1616,854,148,305,176
S01003205,Dalmarnock,Calton,Glasgow Shettleston,1384,1024,855,283,187,177
S01003702,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,1642,3779,857,324,569,178
S01003599,Possil Park,Canal,Glasgow Maryhill,625,806,862,144,143,179
S01003360,Barlanark,Baillieston,Glasgow Baillieston,1768,512,865,341,91,180
S01003445,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,1336,1711,869,276,314,181
S01003130,Mount Florida,Langside,Glasgow Cathcart,1562,298,870,312,55,182
S01003579,Keppochhill,Canal,Glasgow Maryhill,621,425,871,143,76,183
S01003577,Barmulloch,North East,Glasgow Springburn,1018,1762,874,223,320,184
S01003286,Kingston West and Dumbreck,Pollokshields,Glasgow Govan,965,677,876,211,119,185
S01003134,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,2944,2742,877,498,438,186
S01003189,Govanhill West,Southside Central,Glasgow Shettleston,283,547,886,58,100,187
S01003289,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,808,493,889,182,87,188
S01003245,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,1882,1558,892,365,297,189
S01003187,Strathbungo,Pollokshields,Glasgow Govan,1803,793,896,349,138,190
S01003299,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,234,122,897,49,19,191
S01003666,Milton West,Canal,Glasgow Maryhill,1778,1662,905,344,311,192
S01003543,Keppochhill,Canal,Glasgow Maryhill,355,208,913,75,38,193
S01003388,Ibrox,Govan,Glasgow Govan,501,572,918,109,103,194
S01003486,Riddrie and Hogganfield,North East,Glasgow Springburn,161,752,922,30,133,195
S01003551,Petershill,Springburn,Glasgow Springburn,2253,2819,924,417,453,196
S01003365,Ibrox,Govan,Glasgow Govan,238,1056,928,50,192,197
S01003054,Castlemilk,Linn,Glasgow Cathcart,824,575,936,183,105,198
S01003179,Govanhill West,Southside Central,Glasgow Shettleston,1822,2292,937,352,388,199
S01003227,Pollokshields East,Pollokshields,Glasgow Govan,689,1346,938,161,251,200
S01003192,Strathbungo,Southside Central,Glasgow Govan,178,1180,939,36,217,201
S01003194,Braidfauld,Shettleston,Glasgow Shettleston,912,1640,953,200,309,202
S01003280,Kingston West and Dumbreck,Govan,Glasgow Govan,557,976,960,128,179,203
S01003462,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,1520,427,966,303,77,204
S01003443,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,886,917,976,194,164,205
S01003713,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,1276,1344,996,264,250,206
S01003332,Barlanark,Baillieston,Glasgow Baillieston,1175,241,999,246,46,207
S01003717,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,606,993,1004,137,183,208
S01003211,Pollokshields East,Pollokshields,Glasgow Govan,4529,3206,1018,635,497,209
S01003396,Govan and Linthouse,Govan,Glasgow Govan,876,1878,1028,191,336,210
S01003430,Anderston,Anderston/City,Glasgow Kelvin,1519,1399,1029,302,266,211
S01003518,Whiteinch,Partick West,Glasgow Kelvin,960,1274,1038,209,240,212
S01003474,Woodlands,Hillhead,Glasgow Maryhill,1460,3175,1041,294,492,213
S01003523,Craigend and Ruchazie,North East,Glasgow Baillieston,1806,1594,1049,350,302,214
S01003442,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,951,431,1070,207,79,215
S01003440,Riddrie and Hogganfield,East Centre,Glasgow Springburn,480,1773,1073,104,322,216
S01003680,Milton East,Canal,Glasgow Maryhill,627,1447,1081,145,274,217
S01003305,Shettleston North,Baillieston,Glasgow Baillieston,1246,933,1088,261,170,218
S01003534,Petershill,Springburn,Glasgow Springburn,1538,1954,1092,308,348,219
S01003202,Toryglen and Oatlands,Southside Central,Glasgow Shettleston,1880,3178,1095,364,493,220
S01003670,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,768,1989,1100,176,354,221
S01003063,Castlemilk,Linn,Glasgow Cathcart,3902,2860,1102,586,456,222
S01003703,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,1016,1442,1109,221,273,223
S01003029,Carmunnock South,Linn,Glasgow Cathcart,2583,1293,1126,452,241,224
S01003640,Milton West,Canal,Glasgow Maryhill,1443,1488,1146,292,282,225
S01003036,Glenwood South,Linn,Glasgow Cathcart,3296,1380,1150,532,261,226
S01003611,Springburn East and Cowlairs,Springburn,Glasgow Springburn,1364,1523,1153,280,290,227
S01003493,Whiteinch,Partick West,Glasgow Kelvin,2641,804,1159,460,142,228
S01003413,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,801,1824,1163,181,327,229
S01003475,Woodside,Hillhead,Glasgow Maryhill,1829,1490,1175,353,283,230
S01003464,Woodlands,Hillhead,Glasgow Maryhill,1189,1456,1179,249,276,231
S01003478,Hillhead,Partick West,Glasgow Kelvin,3267,3214,1184,529,500,232
S01003166,Shawlands West,Pollokshields,Glasgow Govan,854,725,1188,188,127,233
S01003045,Darnley East,Greater Pollok,Glasgow Pollok,1269,1179,1193,262,216,234
S01003628,Balornock,North East,Glasgow Springburn,1055,325,1194,225,64,235
S01003489,Blackhill and Barmulloch East,North East,Glasgow Springburn,491,674,1195,105,118,236
S01003580,Springburn East and Cowlairs,Springburn,Glasgow Springburn,2010,3112,1201,382,484,237
S01003656,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,2177,2471,1202,402,410,238
S01003320,Kinning Park and Festival Park,Govan,Glasgow Govan,1576,3392,1204,314,528,239
S01003250,Mosspark,Craigton,Glasgow Pollok,1061,1512,1211,227,287,240
S01003215,Pollok North and East,Craigton,Glasgow Pollok,1573,2992,1212,313,470,241
S01003624,Possil Park,Canal,Glasgow Maryhill,1745,1088,1220,337,198,242
S01003492,Cowlairs and Port Dundas,Springburn,Glasgow Springburn,541,519,1224,125,93,243
S01003693,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,2246,3520,1228,415,542,244
S01003033,Glenwood South,Linn,Glasgow Cathcart,3721,2008,1230,570,356,245
S01003055,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,1123,1850,1231,238,332,246
S01003404,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,2159,1981,1234,398,353,247
S01003067,Carmunnock North,Linn,Glasgow Cathcart,753,1667,1239,175,312,248
S01003471,Riddrie and Hogganfield,North East,Glasgow Springburn,122,907,1251,24,162,249
S01003052,Castlemilk,Linn,Glasgow Cathcart,639,1257,1253,150,235,250
S01003247,Parkhead East and Braidfauld North,Calton,Glasgow Shettleston,1608,2330,1255,319,392,251
S01003500,Firhill,Hillhead,Glasgow Maryhill,1357,2005,1264,279,355,252
S01003340,Greenfield,Baillieston,Glasgow Baillieston,568,1157,1266,130,209,253
S01003463,Sighthill,Springburn,Glasgow Springburn,844,1622,1267,186,306,254
S01003084,Nitshill,Greater Pollok,Glasgow Pollok,1171,1950,1272,245,346,255
S01003101,Crookston South,Greater Pollok,Glasgow Pollok,1369,2178,1286,281,374,256
S01003352,Barlanark,Baillieston,Glasgow Baillieston,976,1166,1287,213,215,257
S01003468,Woodlands,Hillhead,Glasgow Maryhill,1759,2110,1292,340,367,258
S01003116,Cathcart,Langside,Glasgow Cathcart,2338,2930,1299,431,463,259
S01003383,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,903,2529,1303,198,416,260
S01003446,City Centre West,Anderston/City,Glasgow Kelvin,1701,1910,1304,331,342,261
S01003329,Greenfield,Baillieston,Glasgow Baillieston,384,958,1305,80,174,262
S01003146,Shawlands East,Langside,Glasgow Govan,2217,2815,1318,412,451,263
S01003213,Braidfauld,Shettleston,Glasgow Shettleston,1504,748,1324,298,129,264
S01003281,Tollcross,Shettleston,Glasgow Shettleston,1682,1352,1342,328,253,265
S01003487,Woodlands,Hillhead,Glasgow Maryhill,1184,1429,1349,248,270,266
S01003563,Barmulloch,North East,Glasgow Springburn,2578,1540,1354,450,293,267
S01003047,Carmunnock South,Linn,Glasgow Cathcart,1348,1247,1355,278,234,268
S01003507,Firhill,Hillhead,Glasgow Maryhill,1648,2450,1360,325,406,269
S01003151,Shettleston South,Shettleston,Glasgow Baillieston,1149,1925,1376,241,343,270
S01003712,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,1272,1067,1377,263,195,271
S01003026,Carmunnock South,Linn,Glasgow Cathcart,2302,750,1378,424,131,272
S01003183,Strathbungo,Southside Central,Glasgow Govan,453,541,1382,96,97,273
S01003634,Balornock,North East,Glasgow Springburn,2245,2018,1383,414,358,274
S01003662,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,1077,811,1390,230,145,275
S01003382,Anderston,Anderston/City,Glasgow Kelvin,1951,1769,1409,373,321,276
S01003561,Keppochhill,Canal,Glasgow Maryhill,1068,922,1418,229,166,277
S01003046,Glenwood North,Linn,Glasgow Cathcart,2582,1357,1423,451,256,278
S01003274,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,95,803,1434,18,141,279
S01003510,Cowlairs and Port Dundas,Springburn,Glasgow Springburn,596,897,1436,135,161,280
S01003566,Ruchill,Canal,Glasgow Maryhill,2099,1457,1440,393,277,281
S01003535,Whiteinch,Partick West,Glasgow Kelvin,1169,1430,1445,244,271,282
S01003449,City Centre West,Anderston/City,Glasgow Kelvin,3596,1298,1458,562,243,283
S01003412,Govan and Linthouse,Govan,Glasgow Govan,1216,988,1462,253,181,284
S01003610,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,2847,1139,1474,487,205,285
S01003411,Drumoyne and Shieldhall,Govan,Glasgow Govan,1773,702,1479,342,121,286
S01003600,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,2978,1355,1484,500,254,287
S01003426,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,968,1240,1490,212,231,288
S01003349,Drumoyne and Shieldhall,Govan,Glasgow Govan,1337,1963,1492,277,349,289
S01003378,Carntyne West and Haghill,East Centre,Glasgow Springburn,2294,2012,1500,422,357,290
S01003348,Kinning Park and Festival Park,Govan,Glasgow Govan,647,1542,1505,152,294,291
S01003627,Springburn East and Cowlairs,Springburn,Glasgow Springburn,2777,2463,1508,479,409,292
S01003494,Woodside,Hillhead,Glasgow Maryhill,1966,1547,1509,376,296,293
S01003107,Crookston South,Greater Pollok,Glasgow Pollok,2065,1813,1511,390,325,294
S01003220,Pollokshields East,Pollokshields,Glasgow Govan,2384,1625,1522,432,307,295
S01003304,Kingston West and Dumbreck,Govan,Glasgow Govan,938,2218,1532,206,377,296
S01003391,Dennistoun,East Centre,Glasgow Springburn,326,1518,1536,67,289,297
S01003409,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,386,1148,1538,81,207,298
S01003397,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,278,716,1539,56,125,299
S01003415,City Centre East,Anderston/City,Glasgow Kelvin,2594,2235,1541,453,382,300
S01003164,Battlefield,Southside Central,Glasgow Shettleston,827,1651,1552,184,310,301
S01003555,North Kelvin,Canal,Glasgow Maryhill,2768,2430,1559,476,403,302
S01003131,Battlefield,Langside,Glasgow Cathcart,1225,2802,1568,254,448,303
S01003549,Petershill,Springburn,Glasgow Springburn,2325,3726,1573,427,563,304
S01003490,Woodside,Hillhead,Glasgow Maryhill,1672,2413,1576,326,401,305
S01003592,Ruchill,Canal,Glasgow Maryhill,628,1494,1577,146,284,306
S01003704,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,1232,1146,1578,257,206,307
S01003398,Easterhouse East,North East,Glasgow Baillieston,1121,1084,1585,237,197,308
S01003251,Dalmarnock,Calton,Glasgow Shettleston,1784,1038,1586,346,188,309
