Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,geographic_access_deprivation_rank_2004,geographic_access_deprivation_rank_2006,geographic_access_deprivation_rank_2009,geographic_access_deprivation_rank_2012,geographic_access_local_rank_2004,geographic_access_local_rank_2006,geographic_access_local_rank_2009,geographic_access_local_rank_2012
S01003711,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,1918,2825,3566,2904,51,79,132,114
S01003197,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,4474,2294,2523,2908,313,47,54,115
S01003632,Anniesland East,Maryhill/Kelvin,Glasgow Anniesland,4311,4119,4825,2916,293,215,320,116
S01003226,Braidfauld,Calton,Glasgow Shettleston,3594,2745,2905,2918,205,77,78,117
S01003339,Hillington,Craigton,Glasgow Pollok,4387,3902,4058,2940,303,188,184,118
S01003215,Pollok North and East,Craigton,Glasgow Pollok,1481,3846,4426,2945,27,182,253,119
S01003629,Possil Park,Canal,Glasgow Maryhill,4181,3425,3969,2964,283,138,171,120
S01003549,Petershill,Springburn,Glasgow Springburn,3690,3590,3643,2982,213,159,142,121
S01003634,Balornock,North East,Glasgow Springburn,3104,3767,3556,2989,156,177,130,122
S01003259,Baillieston East,Baillieston,Glasgow Baillieston,3973,2828,2561,3003,258,80,58,123
S01003027,Darnley East,Greater Pollok,Glasgow Pollok,1107,2521,1641,3021,14,55,13,124
S01003692,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,3231,2968,3150,3035,168,94,95,125
S01003302,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,3844,5268,4716,3042,242,388,301,126
S01003447,City Centre East,Anderston/City,Glasgow Kelvin,812,4905,3800,3044,2,328,157,127
S01003649,Springburn East and Cowlairs,Canal,Glasgow Maryhill,2101,3914,4217,3050,65,191,221,128
S01003483,Craigend and Ruchazie,North East,Glasgow Baillieston,3049,3888,3087,3063,150,186,92,129
S01003662,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,4187,2953,3121,3085,284,89,94,130
S01003219,Mosspark,Craigton,Glasgow Pollok,3501,4312,3114,3090,192,243,93,131
S01003516,Blackhill and Barmulloch East,North East,Glasgow Springburn,3040,2529,2329,3098,149,56,43,132
S01003159,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,2448,3128,4003,3101,89,109,177,133
S01003616,Robroyston and Millerston,North East,Glasgow Springburn,1491,1608,4064,3102,29,15,186,134
S01003655,Balornock,North East,Glasgow Springburn,3502,4256,4339,3104,193,232,239,135
S01003435,Central Easterhouse,North East,Glasgow Baillieston,4750,3041,2569,3107,355,99,60,136
S01003337,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,4106,2880,3894,3117,272,84,163,137
S01003097,Crookston South,Greater Pollok,Glasgow Pollok,3334,2741,3995,3126,179,76,176,138
S01003528,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,1826,2710,2529,3129,45,74,55,139
S01003050,Carmunnock North,Linn,Glasgow Cathcart,3608,5554,4604,3130,207,437,282,140
S01003452,Riddrie and Hogganfield,East Centre,Glasgow Springburn,3418,3173,5096,3150,186,117,369,141
S01003311,Garrowhill West,Baillieston,Glasgow Baillieston,5790,3441,3562,3155,521,142,131,142
S01003231,Baillieston West,Baillieston,Glasgow Baillieston,3959,3729,3264,3158,255,172,104,143
S01003689,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,2633,2311,2904,3162,109,49,77,144
S01003697,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,2468,3469,4247,3167,92,146,227,145
S01003716,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,3912,3309,3442,3170,251,125,118,146
S01003467,Craigend and Ruchazie,North East,Glasgow Baillieston,3484,4205,3448,3174,191,226,120,147
S01003650,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,4978,4332,4106,3182,388,246,199,148
S01003486,Riddrie and Hogganfield,North East,Glasgow Springburn,4286,4015,2299,3183,290,203,40,149
S01003419,Craigend and Ruchazie,East Centre,Glasgow Baillieston,2869,4262,3574,3195,131,233,133,150
S01003208,Braidfauld,Calton,Glasgow Shettleston,3985,3117,3418,3196,261,107,115,151
S01003090,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,2729,3243,3042,3213,118,122,87,152
S01003399,City Centre East,Anderston/City,Glasgow Kelvin,1059,5815,4076,3228,11,495,191,153
S01003092,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,2124,2913,3210,3258,67,87,98,154
S01003184,Pollok North and East,Craigton,Glasgow Pollok,2514,3403,3265,3275,97,135,105,155
S01003155,Pollok South and West,Greater Pollok,Glasgow Pollok,1916,3378,4311,3302,50,131,234,156
S01003428,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,3748,4768,3749,3304,221,308,155,157
S01003488,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,3160,3484,2499,3306,162,149,52,158
S01003569,Victoria Park,Partick West,Glasgow Anniesland,4217,4082,3514,3323,285,211,127,159
S01003381,Carntyne West and Haghill,East Centre,Glasgow Springburn,2836,3026,4649,3326,129,96,285,160
S01003636,Milton West,Canal,Glasgow Maryhill,4313,3417,4185,3347,294,137,215,161
S01003060,Glenwood North,Linn,Glasgow Cathcart,1480,2814,3309,3352,26,78,107,162
S01003053,Darnley North,Greater Pollok,Glasgow Pollok,994,2647,3617,3354,9,70,138,163
S01003321,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,5205,3042,2853,3375,425,100,73,164
S01003186,Maxwell Park,Pollokshields,Glasgow Govan,4653,5461,4503,3384,338,427,265,165
S01003352,Barlanark,Baillieston,Glasgow Baillieston,5460,4677,4509,3396,461,296,267,166
S01003706,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,3718,3813,4333,3410,218,180,237,167
S01003698,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,4015,4299,4068,3419,265,239,189,168
S01003334,Penilee,Craigton,Glasgow Pollok,4689,5274,5006,3430,348,390,353,169
S01003640,Milton West,Canal,Glasgow Maryhill,3715,3097,4464,3435,217,105,259,170
S01003345,Hillington,Craigton,Glasgow Pollok,5054,4912,4807,3436,403,331,314,171
S01003704,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,3976,5260,4810,3462,259,386,315,172
S01003095,Newlands,Newlands/Auldburn,Glasgow Cathcart,3776,3933,3874,3491,227,194,162,173
