Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,geographic_access_deprivation_rank_2004,geographic_access_deprivation_rank_2006,geographic_access_deprivation_rank_2009,geographic_access_deprivation_rank_2012,geographic_access_local_rank_2004,geographic_access_local_rank_2006,geographic_access_local_rank_2009,geographic_access_local_rank_2012
S01003378,Carntyne West and Haghill,East Centre,Glasgow Springburn,6231,4067,4794,4666,606,209,312,342
S01003614,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,3119,4223,4546,4668,159,230,275,343
S01003151,Shettleston South,Shettleston,Glasgow Baillieston,3586,4908,5379,4669,204,330,418,344
S01003510,Cowlairs and Port Dundas,Springburn,Glasgow Springburn,2647,4191,4669,4686,111,222,290,345
S01003622,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,4901,5205,5471,4689,376,377,434,346
S01003089,Newlands,Newlands/Auldburn,Glasgow Cathcart,4854,5125,4714,4697,371,367,299,347
S01003361,Greenfield,Baillieston,Glasgow Baillieston,3311,4549,5111,4709,176,275,373,348
S01003529,Petershill,Springburn,Glasgow Springburn,1677,2889,3715,4716,38,85,151,349
S01003288,Garrowhill West,Baillieston,Glasgow Baillieston,5340,4684,4710,4721,448,297,298,350
S01003627,Springburn East and Cowlairs,Springburn,Glasgow Springburn,3288,3718,4345,4729,172,170,240,351
S01003057,Castlemilk,Linn,Glasgow Cathcart,4697,5639,5507,4732,349,454,440,352
S01003070,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,4756,4028,4275,4749,357,204,230,353
S01003598,Barmulloch,North East,Glasgow Springburn,4605,3507,5068,4753,332,151,366,354
S01003121,Crookston South,Greater Pollok,Glasgow Pollok,4416,4562,5647,4791,305,277,462,355
S01003610,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,5078,5199,5740,4795,410,375,482,356
S01003671,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,5465,5083,5235,4798,462,360,390,357
S01003445,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,2613,5030,5527,4800,107,351,444,358
S01003416,City Centre East,Anderston/City,Glasgow Springburn,1642,5549,4504,4817,36,435,266,359
S01003213,Braidfauld,Shettleston,Glasgow Shettleston,4228,4638,4989,4822,287,289,349,360
S01003579,Keppochhill,Canal,Glasgow Maryhill,4404,4792,4846,4825,304,317,324,361
S01003135,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,4983,4491,5045,4845,390,268,359,362
S01003568,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,3753,5801,4845,4847,223,488,323,363
S01003312,Penilee,Craigton,Glasgow Pollok,5700,4945,5511,4848,504,337,441,364
S01003059,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,3818,5326,5066,4859,238,403,364,365
S01003091,Kingspark South,Linn,Glasgow Cathcart,3516,5952,6305,4864,194,520,617,366
S01003393,Carntyne,East Centre,Glasgow Springburn,5757,4503,4660,4896,519,270,289,367
S01003455,Craigend and Ruchazie,North East,Glasgow Baillieston,2969,5019,3639,4900,135,349,140,368
S01003377,"Cranhill, Lightburn and Queenslie South",Baillieston,Glasgow Baillieston,3325,4771,4430,4901,177,311,254,369
S01003306,Craigton,Govan,Glasgow Pollok,5131,5499,5396,4909,415,431,423,370
S01003658,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,5865,3163,4529,4918,538,115,271,371
S01003561,Keppochhill,Canal,Glasgow Maryhill,4284,4893,4518,4924,289,327,268,372
S01003547,North Kelvin,Canal,Glasgow Maryhill,5390,5715,5498,4929,454,470,439,373
S01003685,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,2805,2490,4139,4941,128,54,206,374
S01003161,Crookston North,Greater Pollok,Glasgow Pollok,2534,4409,4951,4947,100,259,345,375
S01003426,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,6104,5891,5718,4961,581,509,478,376
S01003115,Pollokshaws,Newlands/Auldburn,Glasgow Cathcart,5397,4845,5176,4964,455,322,383,377
S01003150,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,5307,5095,5263,4975,443,362,395,378
S01003574,Ruchill,Canal,Glasgow Maryhill,4910,4973,4689,4977,377,342,292,379
S01003605,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,4938,5580,6319,4985,381,445,618,380
S01003375,Drumoyne and Shieldhall,Govan,Glasgow Govan,4161,3364,4542,4989,277,130,274,381
S01003056,Darnley East,Greater Pollok,Glasgow Pollok,4475,5337,5165,4991,314,406,382,382
S01003078,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,2757,4979,4887,4992,122,343,329,383
S01003264,Mosspark,Govan,Glasgow Pollok,6143,5802,5319,5000,591,489,406,384
S01003276,Garrowhill West,Baillieston,Glasgow Baillieston,5057,3994,4398,5002,404,201,247,385
S01003125,Langside,Langside,Glasgow Cathcart,6164,5236,4672,5005,599,381,291,386
S01003140,Crookston South,Greater Pollok,Glasgow Pollok,3483,3873,5058,5009,190,185,362,387
S01003595,Possil Park,Canal,Glasgow Maryhill,4956,5309,5633,5016,385,400,460,388
S01003707,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,4439,5559,5205,5028,310,438,387,389
S01003642,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,6151,4563,4820,5031,593,278,318,390
S01003546,Cowlairs and Port Dundas,Canal,Glasgow Maryhill,2074,4590,4415,5033,64,283,250,391
S01003075,Kingspark South,Linn,Glasgow Cathcart,4454,6207,6022,5038,311,580,549,392
S01003240,Cardonald West and Central,Craigton,Glasgow Pollok,5589,5504,5564,5056,481,432,450,393
S01003101,Crookston South,Greater Pollok,Glasgow Pollok,4107,3473,4306,5058,273,147,233,394
S01003508,Partick,Partick West,Glasgow Kelvin,6132,5914,5283,5059,587,514,398,395
S01003389,Carntyne West and Haghill,East Centre,Glasgow Springburn,6503,5025,5467,5069,692,350,433,396
S01003307,Cardonald North,Craigton,Glasgow Pollok,5320,5060,4994,5072,444,356,350,397
S01003283,Garrowhill West,Baillieston,Glasgow Baillieston,6050,4791,5402,5079,568,316,425,398
S01003263,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,4418,5228,4963,5080,306,379,346,399
S01003676,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,5719,5594,5382,5114,510,448,420,400
S01003383,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,4646,4708,4797,5121,337,301,313,401
S01003326,Cardonald North,Craigton,Glasgow Pollok,4310,4298,4950,5130,292,238,344,402
S01003682,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,2905,2590,3738,5133,134,63,154,403
S01003349,Drumoyne and Shieldhall,Govan,Glasgow Govan,6049,4808,5070,5148,567,318,367,404
S01003163,Maxwell Park,Pollokshields,Glasgow Govan,6222,6353,6287,5150,603,628,614,405
S01003524,Broomhill,Partick West,Glasgow Kelvin,6388,6201,4186,5151,653,579,216,406
S01003262,Tollcross,Shettleston,Glasgow Shettleston,5476,5287,4776,5159,463,393,309,407
S01003440,Riddrie and Hogganfield,East Centre,Glasgow Springburn,3908,4386,5356,5164,249,253,414,408
S01003333,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,4129,5671,5215,5168,274,460,388,409
S01003609,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,6131,5369,5380,5172,586,410,419,410
S01003678,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,3627,2958,5326,5173,211,91,408,411
S01003310,Cardonald North,Craigton,Glasgow Pollok,5408,5034,5129,5181,456,352,376,412
S01003160,Crookston North,Greater Pollok,Glasgow Pollok,2611,4081,4816,5189,106,210,316,413
S01003134,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,6154,5842,5900,5191,594,504,518,414
S01003702,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,5800,5560,5839,5213,522,439,503,415
S01003147,Crookston North,Greater Pollok,Glasgow Pollok,3987,4839,5252,5230,262,320,393,416
S01003315,Kinning Park and Festival Park,Govan,Glasgow Govan,4665,5745,5863,5239,342,475,509,417
S01003028,Glenwood South,Linn,Glasgow Cathcart,3469,3750,4360,5241,189,173,241,418
S01003566,Ruchill,Canal,Glasgow Maryhill,6288,5825,5563,5244,626,499,449,419
S01003688,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,2709,2468,3696,5257,116,53,150,420
S01003064,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,5270,5241,4628,5279,437,383,283,421
S01003067,Carmunnock North,Linn,Glasgow Cathcart,4662,5794,5614,5280,341,485,458,422
S01003590,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,5200,6005,5910,5282,421,534,520,423
S01003336,Greenfield,Baillieston,Glasgow Baillieston,3520,5177,5377,5286,196,372,417,424
S01003530,Firhill,Canal,Glasgow Maryhill,4912,5664,4898,5291,379,458,331,425
S01003600,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,5542,5273,5606,5292,471,389,457,426
S01003152,Battlefield,Southside Central,Glasgow Cathcart,5322,5329,5679,5300,445,404,468,427
S01003434,Central Easterhouse,North East,Glasgow Baillieston,4023,4999,4694,5309,267,345,295,428
S01003153,Maxwell Park,Pollokshields,Glasgow Govan,5743,5996,5952,5329,516,529,529,429
S01003439,City Centre East,Anderston/City,Glasgow Kelvin,1928,5463,5243,5333,52,428,391,430
S01003030,Glenwood South,Linn,Glasgow Cathcart,3465,4575,4693,5359,188,281,294,431
S01003232,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,5663,5829,5637,5365,495,501,461,432
S01003047,Carmunnock South,Linn,Glasgow Cathcart,4843,5352,5337,5368,367,409,410,433
S01003284,Craigton,Govan,Glasgow Pollok,5825,5817,5982,5369,527,496,535,434
S01003241,Shettleston South,Shettleston,Glasgow Shettleston,4622,4591,4936,5384,333,284,341,435
S01003346,Craigton,Govan,Glasgow Govan,6075,4716,4888,5394,572,302,330,436
S01003187,Strathbungo,Pollokshields,Glasgow Govan,6327,6418,6127,5397,634,656,572,437
S01003111,Nitshill,Greater Pollok,Glasgow Pollok,5554,4647,5770,5399,473,291,485,438
S01003348,Kinning Park and Festival Park,Govan,Glasgow Govan,2879,5138,5878,5400,132,370,514,439
S01003044,Glenwood North,Linn,Glasgow Cathcart,3020,4947,5188,5410,146,338,386,440
S01003647,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,5242,5161,5784,5411,432,371,490,441
S01003223,Braidfauld,Shettleston,Glasgow Shettleston,5621,5728,5788,5416,487,472,492,442
S01003149,Shawlands East,Langside,Glasgow Govan,6078,5910,5778,5426,574,513,486,443
S01003079,Muirend and Old Cathcart,Linn,Glasgow Cathcart,4135,5395,5233,5430,275,417,389,444
S01003239,Cardonald South and East,Craigton,Glasgow Pollok,4463,5735,5593,5432,312,474,453,445
S01003418,Govan and Linthouse,Govan,Glasgow Govan,4626,5447,4997,5437,335,424,351,446
S01003114,Mount Florida,Langside,Glasgow Cathcart,5938,4883,5295,5439,548,325,401,447
S01003340,Greenfield,Baillieston,Glasgow Baillieston,4686,5632,5939,5456,347,452,526,448
S01003253,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,5515,5004,5357,5460,468,346,415,449
S01003108,Cathcart,Langside,Glasgow Cathcart,5845,4438,4523,5464,532,265,269,450
S01003498,Broomhill,Partick West,Glasgow Kelvin,6042,6108,5781,5466,564,559,488,451
S01003526,North Kelvin,Hillhead,Glasgow Kelvin,5801,6356,6065,5472,523,630,556,452
S01003039,Darnley East,Greater Pollok,Glasgow Pollok,4852,5082,5186,5478,370,359,385,453
S01003438,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,4170,5300,4490,5484,281,396,262,454
S01003106,Newlands,Newlands/Auldburn,Glasgow Cathcart,5969,5062,5398,5496,555,357,424,455
S01003410,City Centre West,Anderston/City,Glasgow Kelvin,5066,6238,5543,5502,406,592,448,456
S01003431,Riddrie and Hogganfield,East Centre,Glasgow Springburn,6341,5795,5359,5512,636,486,416,457
S01003205,Dalmarnock,Calton,Glasgow Shettleston,4351,5308,5586,5513,298,399,452,458
S01003228,Braidfauld,Shettleston,Glasgow Shettleston,5337,5399,5487,5514,447,418,436,459
S01003604,Ruchill,Maryhill/Kelvin,Glasgow Maryhill,5023,5132,5343,5520,398,369,411,460
S01003648,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,6272,6287,6256,5524,622,605,606,461
S01003493,Whiteinch,Partick West,Glasgow Kelvin,6414,4668,4919,5528,660,295,337,462
S01003382,Anderston,Anderston/City,Glasgow Kelvin,2052,6073,5605,5530,62,552,456,463
S01003446,City Centre West,Anderston/City,Glasgow Kelvin,5610,5796,5347,5543,485,487,413,464
S01003142,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,6058,5470,5951,5560,569,429,528,465
S01003118,Pollokshaws,Newlands/Auldburn,Glasgow Govan,3106,6223,5598,5564,157,587,454,466
S01003103,Kingspark North,Langside,Glasgow Cathcart,5268,4369,4755,5575,436,249,306,467
S01003271,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,4577,5754,5689,5585,328,478,472,468
S01003173,Strathbungo,Southside Central,Glasgow Govan,6229,6347,6384,5587,605,624,641,469
S01003198,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,5971,5569,5130,5588,556,441,377,470
S01003386,Drumoyne and Shieldhall,Govan,Glasgow Govan,4576,4769,5410,5594,327,309,427,471
S01003238,Cardonald West and Central,Craigton,Glasgow Pollok,5675,5710,5603,5598,497,468,455,472
S01003052,Castlemilk,Linn,Glasgow Cathcart,4340,4645,5061,5601,296,290,363,473
S01003338,Kinning Park and Festival Park,Govan,Glasgow Govan,4169,5506,5693,5619,280,433,473,474
S01003273,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,5511,6037,6202,5627,466,540,589,475
S01003261,Cardonald West and Central,Craigton,Glasgow Pollok,4494,5575,5850,5631,316,444,504,476
S01003463,Sighthill,Springburn,Glasgow Springburn,1302,4243,5835,5632,21,231,501,477
S01003471,Riddrie and Hogganfield,North East,Glasgow Springburn,5712,5240,5001,5633,508,382,352,478
S01003342,Gallowgate North and Bellgrove,Calton,Glasgow Shettleston,4570,5988,6185,5635,325,526,587,479
S01003329,Greenfield,Baillieston,Glasgow Baillieston,5862,5454,5287,5641,537,425,399,480
S01003448,Riddrie and Hogganfield,East Centre,Glasgow Springburn,6158,5430,5308,5645,596,422,404,481
S01003295,Greenfield,Shettleston,Glasgow Baillieston,5016,5485,5446,5650,396,430,431,482
S01003582,Possil Park,Canal,Glasgow Maryhill,4655,5748,5919,5655,339,476,521,483
S01003172,Strathbungo,Southside Central,Glasgow Shettleston,5739,6349,6208,5658,515,626,592,484
S01003668,Anniesland West,Garscadden/Scotstounhill,Glasgow Anniesland,5723,5445,5838,5663,512,423,502,485
S01003673,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,4826,3293,4082,5676,366,123,192,486
S01003586,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,5089,5059,5537,5687,412,355,446,487
S01003129,Langside,Langside,Glasgow Govan,4723,5552,5723,5691,352,436,479,488
S01003593,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Anniesland,5573,6059,6134,5699,478,549,575,489
S01003570,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,5037,5297,4837,5710,400,394,322,490
S01003384,Drumoyne and Shieldhall,Govan,Glasgow Govan,6159,5691,5798,5713,597,465,494,491
S01003040,Castlemilk,Linn,Glasgow Cathcart,3764,5764,6007,5719,225,480,542,492
S01003709,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,4986,5828,6162,5727,391,500,583,493
S01003543,Keppochhill,Canal,Glasgow Maryhill,4942,5281,5670,5728,383,391,464,494
S01003049,Castlemilk,Linn,Glasgow Cathcart,3882,5606,5828,5732,247,450,499,495
S01003266,Tollcross,Shettleston,Glasgow Shettleston,5245,5668,5680,5737,433,459,469,496
S01003287,Cardonald North,Craigton,Glasgow Pollok,6107,6050,6057,5738,583,545,555,497
S01003105,Kingspark North,Langside,Glasgow Rutherglen,5325,5809,5490,5742,446,492,438,498
S01003217,Dalmarnock,Calton,Glasgow Shettleston,5849,5783,5254,5748,533,483,394,499
S01003211,Pollokshields East,Pollokshields,Glasgow Govan,6443,6399,6343,5750,673,650,628,500
S01003298,Hillington,Craigton,Glasgow Pollok,6034,6102,6217,5751,562,558,597,501
S01003472,Sighthill,Springburn,Glasgow Springburn,2531,4387,6036,5758,99,254,551,502
S01003251,Dalmarnock,Calton,Glasgow Shettleston,5299,5758,5859,5759,441,479,507,503
S01003185,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,6277,5686,5512,5760,624,463,442,504
S01003565,Springburn,Springburn,Glasgow Springburn,5965,5837,5797,5770,553,502,493,505
S01003141,Langside,Langside,Glasgow Govan,6325,5920,5997,5775,633,516,540,506
S01003048,Castlemilk,Linn,Glasgow Cathcart,5011,6019,6247,5781,393,536,604,507
S01003176,Strathbungo,Southside Central,Glasgow Govan,6459,6449,6396,5786,677,667,647,508
S01003495,Sighthill,Springburn,Glasgow Springburn,2151,4009,5282,5788,69,202,397,509
S01003584,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,5654,6023,6282,5793,493,537,612,510
S01003537,Firhill,Canal,Glasgow Maryhill,4798,5618,5344,5802,362,451,412,511
S01003319,Craigton,Govan,Glasgow Govan,6289,5562,6009,5823,627,440,544,512
S01003611,Springburn East and Cowlairs,Springburn,Glasgow Springburn,5239,5942,5996,5825,431,518,539,513
S01003412,Govan and Linthouse,Govan,Glasgow Govan,5708,5803,5708,5827,507,490,476,514
S01003480,Whiteinch,Partick West,Glasgow Kelvin,6043,5410,5131,5830,565,421,378,515
S01003299,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,5720,5687,5152,5834,511,464,381,516
S01003235,Shettleston South,Shettleston,Glasgow Shettleston,4754,5203,5450,5840,356,376,432,517
S01003633,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,5833,4785,5442,5858,529,314,430,518
S01003165,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,6044,5733,5687,5862,566,473,471,519
S01003331,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,4560,6064,5853,5882,324,551,505,520
S01003126,Pollokshaws,Newlands/Auldburn,Glasgow Govan,5586,6337,5923,5887,480,621,522,521
S01003294,Craigton,Govan,Glasgow Pollok,6139,5810,6089,5894,590,493,562,522
S01003033,Glenwood South,Linn,Glasgow Cathcart,2235,4281,5104,5899,76,236,371,523
S01003457,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,5369,4888,5941,5902,450,326,527,524
S01003601,Springburn East and Cowlairs,Springburn,Glasgow Springburn,4704,5386,5742,5906,351,414,483,525
S01003391,Dennistoun,East Centre,Glasgow Springburn,4734,5698,5541,5911,354,466,447,526
S01003098,Cathcart,Langside,Glasgow Cathcart,5696,4765,5028,5913,503,307,356,527
S01003351,Ibrox East and Cessnock,Govan,Glasgow Govan,5989,5968,5967,5920,557,522,531,528
S01003545,Dowanhill,Hillhead,Glasgow Kelvin,5877,6226,6084,5921,541,588,560,529
S01003519,Firhill,Hillhead,Glasgow Maryhill,5260,5975,5810,5924,435,524,496,530
S01003532,Victoria Park,Partick West,Glasgow Kelvin,5966,5727,5310,5925,554,471,405,531
S01003449,City Centre West,Anderston/City,Glasgow Kelvin,5409,6295,6008,5943,457,607,543,532
S01003499,Partick,Partick West,Glasgow Kelvin,6416,6213,6207,5950,662,582,591,533
S01003473,Woodside,Hillhead,Glasgow Maryhill,3381,5876,5897,5951,182,506,517,534
S01003552,Kelvinside and Jordanhill,Hillhead,Glasgow Kelvin,5717,6127,5909,5957,509,563,519,535
S01003243,Cardonald West and Central,Craigton,Glasgow Pollok,5379,6056,6156,5960,452,547,582,536
S01003112,Cathcart,Langside,Glasgow Cathcart,6099,5376,5321,5961,580,411,407,537
S01003433,City Centre West,Anderston/City,Glasgow Kelvin,5526,6405,6304,5964,469,652,616,538
S01003572,Springburn,Springburn,Glasgow Springburn,5070,6163,6215,5967,408,571,595,539
S01003580,Springburn East and Cowlairs,Springburn,Glasgow Springburn,4998,6194,6181,5968,392,575,586,540
S01003296,Parkhead West and Barrowfield,Shettleston,Glasgow Shettleston,6357,6346,6148,5971,641,623,579,541
S01003509,Kelvingrove and University,Hillhead,Glasgow Kelvin,6135,6233,5993,5976,588,590,538,542
S01003400,Carntyne,East Centre,Glasgow Springburn,6091,5262,5733,5977,577,387,480,543
S01003138,Pollokshaws,Newlands/Auldburn,Glasgow Govan,6183,6197,6086,5978,601,576,561,544
S01003290,Tollcross,Shettleston,Glasgow Shettleston,6217,5908,5779,5980,602,512,487,545
S01003556,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,5992,5700,5436,5986,558,467,429,546
S01003453,Woodlands,Anderston/City,Glasgow Kelvin,5168,6240,5873,5991,419,594,513,547
S01003116,Cathcart,Langside,Glasgow Cathcart,5726,5822,5834,5992,513,497,500,548
S01003327,Kinning Park and Festival Park,Govan,Glasgow Govan,5450,6485,6466,5994,459,681,672,549
S01003484,Kelvingrove and University,Hillhead,Glasgow Kelvin,6029,6389,6141,5996,561,647,577,550
S01003485,Woodlands,Hillhead,Glasgow Maryhill,5377,6308,5856,5999,451,613,506,551
S01003411,Drumoyne and Shieldhall,Govan,Glasgow Govan,5478,5685,5710,6002,465,462,477,552
S01003144,Crookston North,Greater Pollok,Glasgow Pollok,3798,5304,5880,6003,234,397,515,553
S01003256,Pollokshields West,Pollokshields,Glasgow Govan,5223,5997,6012,6008,429,530,545,554
S01003497,Kelvingrove and University,Partick West,Glasgow Kelvin,6105,6357,6103,6010,582,631,570,555
S01003525,Partickhill and Hyndland,Partick West,Glasgow Kelvin,5859,5888,5616,6011,535,508,459,556
S01003406,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,6415,6328,6457,6012,661,618,666,557
S01003285,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,5286,6042,6325,6016,440,541,621,558
S01003487,Woodlands,Hillhead,Glasgow Maryhill,5839,6307,5860,6017,531,612,508,559
S01003409,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,5950,6149,6043,6026,551,569,553,560
S01003408,Anderston,Anderston/City,Glasgow Kelvin,3233,6274,5971,6032,169,602,532,561
S01003045,Darnley East,Greater Pollok,Glasgow Pollok,5561,6074,6129,6033,475,553,573,562
S01003124,Battlefield,Langside,Glasgow Cathcart,6079,5965,5986,6034,575,521,537,563
S01003522,Dowanhill,Hillhead,Glasgow Kelvin,6137,6366,6252,6046,589,636,605,564
S01003442,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,3538,5806,6097,6048,197,491,566,565
S01003513,Kelvingrove and University,Hillhead,Glasgow Kelvin,6090,6460,6464,6052,576,670,670,566
S01003482,Firhill,Hillhead,Glasgow Maryhill,3871,6184,6102,6056,245,574,569,567
S01003420,North Barlanark and Easterhouse South,North East,Glasgow Baillieston,5681,5906,6204,6060,498,510,590,568
S01003367,Govan and Linthouse,Govan,Glasgow Govan,5754,6331,6152,6070,517,619,580,569
S01003564,Keppochhill,Canal,Glasgow Maryhill,5701,6031,6234,6077,505,539,601,570
S01003619,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,6251,5570,6017,6083,613,442,546,571
S01003301,Tollcross,Shettleston,Glasgow Shettleston,5111,5589,5673,6085,413,447,466,572
S01003491,Sighthill,Springburn,Glasgow Springburn,4812,4318,5896,6087,364,244,516,573
S01003320,Kinning Park and Festival Park,Govan,Glasgow Govan,5694,6200,6116,6090,502,578,571,574
S01003392,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,6349,6470,6460,6092,639,674,668,575
S01003571,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,6035,6058,6101,6098,563,548,568,576
S01003659,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,6484,6441,6329,6110,688,664,622,577
S01003470,Hillhead,Partick West,Glasgow Kelvin,6440,6491,5976,6121,671,685,534,578
S01003441,Govan and Linthouse,Govan,Glasgow Govan,6093,6060,5695,6137,578,550,474,579
S01003424,Drumoyne and Shieldhall,Govan,Glasgow Govan,5813,6116,6170,6138,525,562,585,580
S01003575,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,6127,5661,5786,6139,585,456,491,581
S01003190,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,6270,6212,5865,6140,621,581,510,582
S01003309,Old Shettleston and Parkhead North,Shettleston,Glasgow Shettleston,6161,6098,6090,6142,598,557,563,583
S01003468,Woodlands,Hillhead,Glasgow Maryhill,5565,6312,6269,6152,477,614,609,584
S01003396,Govan and Linthouse,Govan,Glasgow Govan,5958,6013,6047,6158,552,535,554,585
S01003422,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,6067,5992,6445,6163,571,528,662,586
S01003130,Mount Florida,Langside,Glasgow Cathcart,6464,5917,5811,6164,680,515,497,587
S01003255,Cardonald South and East,Craigton,Glasgow Pollok,4915,6239,6331,6174,380,593,623,588
S01003166,Shawlands West,Pollokshields,Glasgow Govan,6461,6378,6365,6177,678,642,634,589
S01003514,Dowanhill,Hillhead,Glasgow Kelvin,6435,6422,6397,6178,668,659,648,590
S01003132,Pollokshaws,Newlands/Auldburn,Glasgow Govan,6233,6129,6209,6180,607,564,593,591
S01003474,Woodlands,Hillhead,Glasgow Maryhill,5304,6374,6388,6198,442,641,643,592
S01003168,Shawlands West,Pollokshields,Glasgow Govan,6437,6461,6387,6200,669,671,642,593
S01003206,Govanhill West,Southside Central,Glasgow Shettleston,6260,6026,5867,6201,616,538,511,594
S01003521,Kelvingrove and University,Hillhead,Glasgow Kelvin,6446,6498,6496,6204,674,689,690,595
S01003534,Petershill,Springburn,Glasgow Springburn,2775,5537,5674,6205,125,434,467,596
S01003517,Firhill,Hillhead,Glasgow Maryhill,5576,6095,5931,6206,479,556,524,597
S01003254,Dalmarnock,Calton,Glasgow Shettleston,5625,6136,6140,6208,490,567,576,598
S01003278,Cardonald North,Craigton,Glasgow Pollok,5875,6109,6223,6209,540,560,599,599
S01003054,Castlemilk,Linn,Glasgow Cathcart,5902,6286,6216,6210,543,604,596,600
S01003507,Firhill,Hillhead,Glasgow Maryhill,4358,6379,6383,6215,299,643,640,601
S01003478,Hillhead,Partick West,Glasgow Kelvin,6291,6489,6377,6216,628,683,638,602
S01003500,Firhill,Hillhead,Glasgow Maryhill,5285,6258,6240,6217,439,600,603,603
S01003395,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,6002,6428,6405,6222,559,660,650,604
S01003267,Shettleston North,Shettleston,Glasgow Shettleston,6241,5907,6073,6225,610,511,557,605
S01003143,Mount Florida,Langside,Glasgow Cathcart,6372,6053,6041,6228,647,546,552,606
S01003465,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,6382,6269,6092,6231,651,601,564,607
S01003304,Kingston West and Dumbreck,Govan,Glasgow Govan,5683,6478,6484,6236,499,679,683,608
S01003036,Glenwood South,Linn,Glasgow Cathcart,3613,5005,5736,6238,208,347,481,609
S01003179,Govanhill West,Southside Central,Glasgow Shettleston,6276,6291,6186,6243,623,606,588,610
S01003281,Tollcross,Shettleston,Glasgow Shettleston,6019,6001,5983,6245,560,532,536,611
S01003200,Govanhill West,Southside Central,Glasgow Shettleston,6359,6134,6099,6246,642,565,567,612
S01003364,Govan and Linthouse,Govan,Glasgow Govan,6280,5887,5932,6252,625,507,525,613
S01003444,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,6400,5838,6020,6259,658,503,548,614
