Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,housing_local_rank_2004,housing_local_rank_2006,housing_local_rank_2009,housing_local_rank_2012
S01003498,Broomhill,Partick West,Glasgow Kelvin,955,955,955,955,490,490,490,490
S01003326,Cardonald North,Craigton,Glasgow Pollok,956,956,956,956,491,491,491,491
S01003615,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,958,958,958,958,492,492,492,492
S01003528,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,959,959,959,959,493,493,493,493
S01003621,Possil Park,Canal,Glasgow Maryhill,970,970,970,970,494,494,494,494
S01003633,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,974,974,974,974,495,495,495,495
S01003662,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,978,978,978,978,496,496,496,496
S01003340,Greenfield,Baillieston,Glasgow Baillieston,982,982,982,982,497,497,497,497
S01003383,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,983,983,983,983,498,498,498,498
S01003209,Mosspark,Craigton,Glasgow Pollok,985,985,985,985,499,499,499,499
S01003325,Hillington,Craigton,Glasgow Pollok,995,995,995,995,500,500,500,500
S01003565,Springburn,Springburn,Glasgow Springburn,996,996,996,996,501,501,501,501
S01003668,Anniesland West,Garscadden/Scotstounhill,Glasgow Anniesland,998,998,998,998,502,502,502,502
S01003199,Shettleston South,Shettleston,Glasgow Shettleston,1001,1001,1001,1001,503,503,503,503
S01003158,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,1007,1007,1007,1007,504,504,504,504
S01003239,Cardonald South and East,Craigton,Glasgow Pollok,1016,1016,1016,1016,505,505,505,505
S01003647,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,1017,1017,1017,1017,506,506,506,506
S01003257,Pollokshields West,Pollokshields,Glasgow Govan,1019,1019,1019,1019,507,507,507,507
S01003250,Mosspark,Craigton,Glasgow Pollok,1021,1021,1021,1021,508,508,508,508
S01003374,Barlanark,Baillieston,Glasgow Baillieston,1025,1025,1025,1025,509,509,509,509
S01003099,Nitshill,Greater Pollok,Glasgow Pollok,1026,1026,1026,1026,510,510,510,510
S01003427,Carntyne,East Centre,Glasgow Springburn,1027,1027,1027,1027,511,511,511,511
S01003028,Glenwood South,Linn,Glasgow Cathcart,1029,1029,1029,1029,512,512,512,512
S01003080,Kingspark South,Linn,Glasgow Cathcart,1030,1030,1030,1030,513,513,513,513
S01003642,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,1033,1033,1033,1033,514,514,514,514
S01003263,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,1035,1035,1035,1035,515,515,515,515
S01003372,"Cranhill, Lightburn and Queenslie South",Baillieston,Glasgow Baillieston,1045,1045,1045,1045,516,516,516,516
S01003507,Firhill,Hillhead,Glasgow Maryhill,1049,1049,1049,1049,517,517,517,517
S01003329,Greenfield,Baillieston,Glasgow Baillieston,1054,1054,1054,1054,518,518,518,518
S01003305,Shettleston North,Baillieston,Glasgow Baillieston,1058,1058,1058,1058,519,519,519,519
S01003230,Mosspark,Craigton,Glasgow Pollok,1060,1060,1060,1060,520,520,520,520
S01003265,Cardonald West and Central,Craigton,Glasgow Pollok,1065,1065,1065,1065,521,521,521,521
S01003235,Shettleston South,Shettleston,Glasgow Shettleston,1076,1076,1076,1076,522,522,522,522
S01003520,Partickhill and Hyndland,Hillhead,Glasgow Kelvin,1080,1080,1080,1080,523,523,523,523
S01003593,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Anniesland,1088,1088,1088,1088,524,524,524,524
S01003534,Petershill,Springburn,Glasgow Springburn,1099,1099,1099,1099,525,525,525,525
S01003516,Blackhill and Barmulloch East,North East,Glasgow Springburn,1110,1110,1110,1110,526,526,526,526
S01003645,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,1112,1112,1112,1112,527,527,527,527
S01003694,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,1116,1116,1116,1116,528,528,528,528
S01003037,Darnley West,Greater Pollok,Glasgow Pollok,1118,1118,1118,1118,529,529,529,529
S01003084,Nitshill,Greater Pollok,Glasgow Pollok,1124,1124,1124,1124,530,530,530,530
S01003298,Hillington,Craigton,Glasgow Pollok,1125,1125,1125,1125,531,531,531,531
S01003331,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,1127,1127,1127,1127,532,532,532,532
S01003101,Crookston South,Greater Pollok,Glasgow Pollok,1130,1130,1130,1130,533,533,533,533
S01003684,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,1144,1144,1144,1144,534,534,534,534
S01003090,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,1154,1154,1154,1154,535,535,535,535
S01003606,Springburn,Springburn,Glasgow Springburn,1160,1160,1160,1160,536,536,536,536
S01003363,Greenfield,Baillieston,Glasgow Baillieston,1169,1169,1169,1169,537,537,537,537
S01003141,Langside,Langside,Glasgow Govan,1183,1183,1183,1183,538,538,538,538
S01003219,Mosspark,Craigton,Glasgow Pollok,1186,1186,1186,1186,539,539,539,539
S01003105,Kingspark North,Langside,Glasgow Rutherglen,1188,1188,1188,1188,540,540,540,540
S01003278,Cardonald North,Craigton,Glasgow Pollok,1191,1191,1191,1191,541,541,541,541
S01003638,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,1199,1199,1199,1199,542,542,542,542
S01003060,Glenwood North,Linn,Glasgow Cathcart,1204,1204,1204,1204,543,543,543,543
S01003122,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,1230,1230,1230,1230,544,544,544,544
S01003348,Kinning Park and Festival Park,Govan,Glasgow Govan,1234,1234,1234,1234,545,545,545,545
S01003030,Glenwood South,Linn,Glasgow Cathcart,1242,1242,1242,1242,546,546,546,546
S01003283,Garrowhill West,Baillieston,Glasgow Baillieston,1256,1256,1256,1256,547,547,547,547
S01003400,Carntyne,East Centre,Glasgow Springburn,1268,1268,1268,1268,548,548,548,548
S01003695,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,1276,1276,1276,1276,549,549,549,549
S01003264,Mosspark,Govan,Glasgow Pollok,1296,1296,1296,1296,550,550,550,550
S01003115,Pollokshaws,Newlands/Auldburn,Glasgow Cathcart,1316,1316,1316,1316,551,551,551,551
S01003608,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,1326,1326,1326,1326,552,552,552,552
S01003630,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,1335,1335,1335,1335,553,553,553,553
S01003042,Glenwood North,Linn,Glasgow Cathcart,1336,1336,1336,1336,554,554,554,554
S01003127,Kingspark North,Langside,Glasgow Rutherglen,1338,1338,1338,1338,555,555,555,555
S01003280,Kingston West and Dumbreck,Govan,Glasgow Govan,1340,1340,1340,1340,556,556,556,556
S01003034,Darnley East,Greater Pollok,Glasgow Pollok,1349,1349,1349,1349,557,557,557,557
S01003268,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,1355,1355,1355,1355,558,558,558,558
S01003576,Kelvinside and Jordanhill,Hillhead,Glasgow Kelvin,1365,1365,1365,1365,559,559,559,559
S01003094,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,1369,1369,1369,1369,560,560,560,560
S01003407,Carntyne,East Centre,Glasgow Springburn,1410,1410,1410,1410,561,561,561,561
S01003384,Drumoyne and Shieldhall,Govan,Glasgow Govan,1422,1422,1422,1422,562,562,562,562
S01003461,Riddrie and Hogganfield,East Centre,Glasgow Springburn,1424,1424,1424,1424,563,563,563,563
S01003323,Garrowhill West,Baillieston,Glasgow Baillieston,1438,1438,1438,1438,564,564,564,564
S01003240,Cardonald West and Central,Craigton,Glasgow Pollok,1440,1440,1440,1440,565,565,565,565
S01003545,Dowanhill,Hillhead,Glasgow Kelvin,1442,1442,1442,1442,566,566,566,566
S01003552,Kelvinside and Jordanhill,Hillhead,Glasgow Kelvin,1492,1492,1492,1492,567,567,567,567
S01003051,Darnley North,Greater Pollok,Glasgow Pollok,1498,1498,1498,1498,568,568,568,568
S01003061,Carmunnock North,Linn,Glasgow Cathcart,1499,1499,1499,1499,569,569,569,569
S01003618,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,1523,1523,1523,1523,570,570,570,570
S01003317,Barlanark,Baillieston,Glasgow Baillieston,1524,1524,1524,1524,571,571,571,571
S01003266,Tollcross,Shettleston,Glasgow Shettleston,1530,1530,1530,1530,572,572,572,572
S01003243,Cardonald West and Central,Craigton,Glasgow Pollok,1540,1540,1540,1540,573,573,573,573
S01003180,Shettleston South,Shettleston,Glasgow Shettleston,1556,1556,1556,1556,574,574,574,574
S01003242,Kingston West and Dumbreck,Govan,Glasgow Govan,1567,1567,1567,1567,575,575,575,575
S01003311,Garrowhill West,Baillieston,Glasgow Baillieston,1580,1580,1580,1580,576,576,576,576
S01003526,North Kelvin,Hillhead,Glasgow Kelvin,1581,1581,1581,1581,577,577,577,577
S01003259,Baillieston East,Baillieston,Glasgow Baillieston,1588,1588,1588,1588,578,578,578,578
S01003360,Barlanark,Baillieston,Glasgow Baillieston,1627,1627,1627,1627,579,579,579,579
S01003073,Kingspark South,Linn,Glasgow Cathcart,1641,1641,1641,1641,580,580,580,580
S01003700,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,1657,1657,1657,1657,581,581,581,581
S01003097,Crookston South,Greater Pollok,Glasgow Pollok,1684,1684,1684,1684,582,582,582,582
S01003026,Carmunnock South,Linn,Glasgow Cathcart,1713,1713,1713,1713,583,583,583,583
S01003045,Darnley East,Greater Pollok,Glasgow Pollok,1764,1764,1764,1764,584,584,584,584
S01003555,North Kelvin,Canal,Glasgow Maryhill,1766,1766,1766,1766,585,585,585,585
S01003675,Anniesland East,Drumchapel/Anniesland,Glasgow Anniesland,1784,1784,1784,1784,586,586,586,586
S01003046,Glenwood North,Linn,Glasgow Cathcart,1785,1785,1785,1785,587,587,587,587
S01003112,Cathcart,Langside,Glasgow Cathcart,1864,1864,1864,1864,588,588,588,588
S01003151,Shettleston South,Shettleston,Glasgow Baillieston,1900,1900,1900,1900,589,589,589,589
S01003287,Cardonald North,Craigton,Glasgow Pollok,1910,1910,1910,1910,590,590,590,590
S01003079,Muirend and Old Cathcart,Linn,Glasgow Cathcart,1933,1933,1933,1933,591,591,591,591
S01003085,Cathcart,Linn,Glasgow Cathcart,1937,1937,1937,1937,592,592,592,592
S01003631,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,1955,1955,1955,1955,593,593,593,593
S01003632,Anniesland East,Maryhill/Kelvin,Glasgow Anniesland,1960,1960,1960,1960,594,594,594,594
S01003542,Dowanhill,Hillhead,Glasgow Kelvin,1961,1961,1961,1961,595,595,595,595
S01003177,Strathbungo,Pollokshields,Glasgow Govan,1963,1963,1963,1963,596,596,596,596
S01003620,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,1964,1964,1964,1964,597,597,597,597
S01003683,Blairdardie East,Garscadden/Scotstounhill,Glasgow Anniesland,1985,1985,1985,1985,598,598,598,598
S01003216,Cardonald West and Central,Craigton,Glasgow Pollok,2006,2006,2006,2006,599,599,599,599
S01003524,Broomhill,Partick West,Glasgow Kelvin,2027,2027,2027,2027,600,600,600,600
S01003195,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,2038,2038,2038,2038,601,601,601,601
S01003282,Cardonald West and Central,Craigton,Glasgow Pollok,2041,2041,2041,2041,602,602,602,602
S01003114,Mount Florida,Langside,Glasgow Cathcart,2048,2048,2048,2048,603,603,603,603
S01003658,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,2088,2088,2088,2088,604,604,604,604
S01003682,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,2097,2097,2097,2097,605,605,605,605
S01003053,Darnley North,Greater Pollok,Glasgow Pollok,2123,2123,2123,2123,606,606,606,606
S01003529,Petershill,Springburn,Glasgow Springburn,2169,2169,2169,2169,607,607,607,607
S01003452,Riddrie and Hogganfield,East Centre,Glasgow Springburn,2174,2174,2174,2174,608,608,608,608
S01003511,Partickhill and Hyndland,Partick West,Glasgow Kelvin,2180,2180,2180,2180,609,609,609,609
S01003258,Baillieston West,Baillieston,Glasgow Baillieston,2188,2188,2188,2188,610,610,610,610
S01003292,Garrowhill West,Baillieston,Glasgow Baillieston,2219,2219,2219,2219,611,611,611,611
S01003027,Darnley East,Greater Pollok,Glasgow Pollok,2284,2284,2284,2284,612,612,612,612
S01003661,Anniesland East,Maryhill/Kelvin,Glasgow Anniesland,2286,2286,2286,2286,613,613,613,613
S01003649,Springburn East and Cowlairs,Canal,Glasgow Maryhill,2324,2324,2324,2324,614,614,614,614
S01003241,Shettleston South,Shettleston,Glasgow Shettleston,2359,2359,2359,2359,615,615,615,615
S01003102,Kingspark North,Langside,Glasgow Rutherglen,2542,2542,2542,2542,616,616,616,616
S01003626,Robroyston and Millerston,North East,Glasgow Springburn,2553,2553,2553,2553,617,617,617,617
S01003544,North Kelvin,Canal,Glasgow Maryhill,2604,2604,2604,2604,618,618,618,618
