Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,overall_local_rank_2004,overall_local_rank_2006,overall_local_rank_2009,overall_local_rank_2012
S01003447,City Centre East,Anderston/City,Glasgow Kelvin,253,898,1902,2513,185,315,417,468
S01003448,Riddrie and Hogganfield,East Centre,Glasgow Springburn,702,1032,1167,1209,334,340,333,327
S01003449,City Centre West,Anderston/City,Glasgow Kelvin,1634,3108,3551,3203,438,516,545,513
S01003450,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,732,659,527,866,339,272,216,275
S01003451,Hillhead,Partick West,Glasgow Kelvin,2061,2440,3067,2879,481,471,507,490
S01003452,Riddrie and Hogganfield,East Centre,Glasgow Springburn,2200,2320,2857,2400,493,462,491,457
S01003453,Woodlands,Anderston/City,Glasgow Kelvin,2499,3508,4140,4924,511,547,574,615
S01003454,Woodlands,Hillhead,Glasgow Maryhill,1281,1997,1313,1539,403,441,353,370
S01003455,Craigend and Ruchazie,North East,Glasgow Baillieston,10,46,16,20,10,32,11,14
S01003456,Central Easterhouse,North East,Glasgow Baillieston,4,11,12,71,4,7,9,42
S01003457,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,100,289,573,357,84,154,226,162
S01003458,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,442,939,1059,1244,264,326,316,332
S01003459,Craigend and Ruchazie,North East,Glasgow Springburn,498,576,509,444,281,256,211,186
S01003460,Hillhead,Partick West,Glasgow Kelvin,2913,4155,3534,3800,540,585,543,551
S01003461,Riddrie and Hogganfield,East Centre,Glasgow Springburn,1071,1522,1791,1789,382,392,407,396
S01003462,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,292,256,93,149,208,138,55,78
S01003463,Sighthill,Springburn,Glasgow Springburn,321,586,767,1351,224,257,270,346
S01003464,Woodlands,Hillhead,Glasgow Maryhill,2808,4646,4476,3706,532,606,598,545
S01003465,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,2078,1902,2859,3709,484,428,492,546
S01003466,Hillhead,Partick West,Glasgow Kelvin,486,394,427,868,274,198,190,276
S01003467,Craigend and Ruchazie,North East,Glasgow Baillieston,344,401,581,615,235,200,229,226
S01003468,Woodlands,Hillhead,Glasgow Maryhill,1671,2545,2648,2758,444,481,476,481
S01003469,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,1341,1166,1021,1243,409,359,310,331
S01003470,Hillhead,Partick West,Glasgow Kelvin,1196,2120,2693,2466,395,453,478,462
S01003471,Riddrie and Hogganfield,North East,Glasgow Springburn,85,102,125,91,72,63,75,57
S01003472,Sighthill,Springburn,Glasgow Springburn,350,710,719,992,237,280,258,291
S01003473,Woodside,Hillhead,Glasgow Maryhill,542,980,1372,1471,297,332,359,363
S01003474,Woodlands,Hillhead,Glasgow Maryhill,2758,4123,4565,4893,528,583,602,612
S01003475,Woodside,Hillhead,Glasgow Maryhill,843,1246,1436,1571,359,365,363,374
S01003476,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,1543,1812,2172,2284,426,421,441,444
S01003477,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,2625,2825,3164,2745,519,509,514,480
S01003478,Hillhead,Partick West,Glasgow Kelvin,2047,1944,2448,2190,480,431,461,431
S01003479,Hillhead,Partick West,Glasgow Kelvin,1794,2636,2998,3512,455,492,504,532
S01003480,Whiteinch,Partick West,Glasgow Kelvin,304,285,198,220,215,152,103,114
S01003481,Partick,Partick West,Glasgow Kelvin,2096,1978,2541,2402,489,437,468,458
S01003482,Firhill,Hillhead,Glasgow Maryhill,59,126,107,113,52,78,63,65
S01003483,Craigend and Ruchazie,North East,Glasgow Baillieston,368,179,356,447,241,110,167,188
S01003484,Kelvingrove and University,Hillhead,Glasgow Kelvin,3751,2812,3129,3507,588,507,511,531
S01003485,Woodlands,Hillhead,Glasgow Maryhill,3793,5235,5531,5242,591,645,662,638
S01003486,Riddrie and Hogganfield,North East,Glasgow Springburn,91,91,71,123,77,55,44,70
S01003487,Woodlands,Hillhead,Glasgow Maryhill,1998,2705,2558,2890,475,500,469,491
S01003488,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,46,87,155,477,41,54,85,194
S01003489,Blackhill and Barmulloch East,North East,Glasgow Springburn,54,32,38,83,49,24,27,50
S01003490,Woodside,Hillhead,Glasgow Maryhill,660,921,979,917,328,322,303,281
S01003491,Sighthill,Springburn,Glasgow Springburn,118,393,2313,3043,98,197,451,503
S01003492,Cowlairs and Port Dundas,Springburn,Glasgow Springburn,501,698,1499,1752,283,277,373,393
S01003493,Whiteinch,Partick West,Glasgow Kelvin,392,458,351,327,248,216,165,149
S01003494,Woodside,Hillhead,Glasgow Maryhill,972,1071,877,999,373,349,285,292
S01003495,Sighthill,Springburn,Glasgow Springburn,425,990,1195,1281,257,334,339,338
S01003496,Partick,Partick West,Glasgow Kelvin,3126,3871,3511,3614,550,565,540,537
S01003497,Kelvingrove and University,Partick West,Glasgow Kelvin,3785,4105,4177,4368,590,580,581,584
S01003498,Broomhill,Partick West,Glasgow Kelvin,1406,1511,1331,1166,417,389,355,320
S01003499,Partick,Partick West,Glasgow Kelvin,2587,2676,2588,2293,517,497,471,448
S01003500,Firhill,Hillhead,Glasgow Maryhill,270,325,163,234,194,169,87,121
S01003501,Kelvingrove and University,Hillhead,Glasgow Kelvin,2561,3302,3684,3703,516,529,554,544
S01003502,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,294,219,945,1456,210,122,296,362
S01003503,Hillhead,Partick West,Glasgow Kelvin,4658,5392,5707,5622,626,654,672,660
S01003504,Kelvingrove and University,Hillhead,Glasgow Kelvin,3293,4115,4371,4559,559,582,588,591
S01003505,Sighthill,Springburn,Glasgow Springburn,156,461,2289,3453,128,217,450,528
S01003506,Firhill,Hillhead,Glasgow Maryhill,3411,3379,3895,4677,564,536,565,598
S01003507,Firhill,Hillhead,Glasgow Maryhill,4033,4988,4419,4961,598,628,592,618
S01003508,Partick,Partick West,Glasgow Kelvin,648,486,354,432,323,226,166,183
S01003509,Kelvingrove and University,Hillhead,Glasgow Kelvin,5586,6013,6251,6417,673,677,686,693
S01003510,Cowlairs and Port Dundas,Springburn,Glasgow Springburn,454,752,1905,1894,267,287,418,407
S01003511,Partickhill and Hyndland,Partick West,Glasgow Kelvin,5885,5991,6150,6147,680,675,681,683
S01003512,Craigend and Ruchazie,North East,Glasgow Baillieston,276,383,332,347,197,193,160,158
S01003513,Kelvingrove and University,Hillhead,Glasgow Kelvin,3461,4865,5088,5177,569,621,633,636
S01003514,Dowanhill,Hillhead,Glasgow Kelvin,4087,4653,5160,5107,601,607,638,631
S01003515,Blackhill and Barmulloch East,North East,Glasgow Springburn,114,117,105,94,95,74,61,59
S01003516,Blackhill and Barmulloch East,North East,Glasgow Springburn,2756,3233,3424,3686,527,525,532,540
S01003517,Firhill,Hillhead,Glasgow Maryhill,2631,2682,3208,3599,520,498,516,536
S01003518,Whiteinch,Partick West,Glasgow Kelvin,921,886,671,643,366,311,247,230
S01003519,Firhill,Hillhead,Glasgow Maryhill,288,251,286,402,205,135,143,173
S01003520,Partickhill and Hyndland,Hillhead,Glasgow Kelvin,4836,4727,4784,4975,637,611,613,621
S01003521,Kelvingrove and University,Hillhead,Glasgow Kelvin,3490,4364,4801,5015,573,596,616,623
S01003522,Dowanhill,Hillhead,Glasgow Kelvin,4545,4908,4910,5269,620,623,622,641
S01003523,Craigend and Ruchazie,North East,Glasgow Baillieston,155,288,346,561,127,153,163,215
S01003524,Broomhill,Partick West,Glasgow Kelvin,5443,5586,5642,5591,669,667,670,658
S01003525,Partickhill and Hyndland,Partick West,Glasgow Kelvin,4441,5171,5371,5663,616,641,649,663
S01003526,North Kelvin,Hillhead,Glasgow Kelvin,4855,5000,5395,5384,639,630,650,650
S01003527,Victoria Park,Partick West,Glasgow Anniesland,5954,6058,5508,5749,684,679,659,669
S01003528,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,1602,2446,2860,2665,432,472,493,477
S01003529,Petershill,Springburn,Glasgow Springburn,2806,4170,4904,4596,531,586,620,593
S01003530,Firhill,Canal,Glasgow Maryhill,4127,4773,5110,5383,603,615,634,649
S01003531,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,337,397,381,408,232,199,176,177
S01003532,Victoria Park,Partick West,Glasgow Kelvin,4926,4819,4804,4432,643,618,617,587
S01003533,Petershill,Springburn,Glasgow Springburn,96,691,1057,2814,81,275,315,484
S01003534,Petershill,Springburn,Glasgow Springburn,1139,1491,1985,1708,388,387,425,387
S01003535,Whiteinch,Partick West,Glasgow Kelvin,1052,1451,1597,1597,379,381,382,380
S01003536,Partickhill and Hyndland,Hillhead,Glasgow Kelvin,6190,6462,6465,6480,687,694,694,694
S01003537,Firhill,Canal,Glasgow Maryhill,825,1042,1477,1349,354,342,369,345
S01003538,Blackhill and Barmulloch East,North East,Glasgow Springburn,555,563,641,702,300,253,240,243
S01003539,Broomhill,Partick West,Glasgow Kelvin,6368,6267,6200,6240,692,685,685,684
S01003540,Keppochhill,Canal,Glasgow Maryhill,36,20,120,258,32,15,71,128
S01003541,Petershill,Springburn,Glasgow Springburn,316,643,525,976,223,268,215,289
S01003542,Dowanhill,Hillhead,Glasgow Kelvin,5828,5381,5453,5339,678,652,656,645
S01003543,Keppochhill,Canal,Glasgow Maryhill,142,128,91,355,116,80,54,160
S01003544,North Kelvin,Canal,Glasgow Maryhill,5351,5734,5052,5937,663,672,632,675
S01003545,Dowanhill,Hillhead,Glasgow Kelvin,5938,6140,6015,6356,682,681,677,687
S01003546,Cowlairs and Port Dundas,Canal,Glasgow Maryhill,181,247,239,232,147,133,120,120
S01003547,North Kelvin,Canal,Glasgow Maryhill,2365,3155,2790,3117,501,520,486,507
S01003548,Barmulloch,Springburn,Glasgow Springburn,37,160,727,2332,33,99,259,452
S01003549,Petershill,Springburn,Glasgow Springburn,148,154,221,181,121,93,109,97
S01003550,Robroyston and Millerston,North East,Glasgow Springburn,3847,4439,4087,4270,594,600,570,580
S01003551,Petershill,Springburn,Glasgow Springburn,262,620,759,566,190,264,267,216
S01003552,Kelvinside and Jordanhill,Hillhead,Glasgow Kelvin,6285,6272,6376,6370,690,686,691,689
S01003553,Keppochhill,Canal,Glasgow Maryhill,52,61,58,67,47,41,38,40
S01003554,North Kelvin,Canal,Glasgow Maryhill,4049,4779,5224,5261,599,616,641,640
S01003555,North Kelvin,Canal,Glasgow Maryhill,5383,5427,6027,6098,666,658,678,681
S01003556,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,5603,5970,6417,6319,676,674,692,685
S01003557,Barmulloch,North East,Glasgow Springburn,214,166,100,140,166,103,58,76
S01003558,Dowanhill,Hillhead,Glasgow Kelvin,6197,6352,6372,6408,688,691,690,692
S01003559,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,5475,5588,6175,5926,670,668,683,674
S01003560,Broomhill,Partick West,Glasgow Kelvin,6411,6159,5839,5955,693,683,675,676
S01003561,Keppochhill,Canal,Glasgow Maryhill,233,376,616,681,174,190,235,238
S01003562,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,146,131,229,135,119,82,113,75
S01003563,Barmulloch,North East,Glasgow Springburn,447,744,552,421,265,285,222,179
S01003564,Keppochhill,Canal,Glasgow Maryhill,5,9,3,3,5,5,2,2
S01003565,Springburn,Springburn,Glasgow Springburn,182,197,161,202,148,116,86,107
S01003566,Ruchill,Canal,Glasgow Maryhill,3569,3888,3652,3907,579,567,551,560
S01003567,Cowlairs and Port Dundas,Canal,Glasgow Maryhill,56,76,110,98,50,51,66,60
S01003568,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,5431,6078,6176,6334,668,680,684,686
S01003569,Victoria Park,Partick West,Glasgow Anniesland,5414,6143,5568,5671,667,682,664,664
S01003570,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,4848,5382,5619,5837,638,653,666,671
S01003571,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,573,995,908,730,305,335,289,248
S01003572,Springburn,Springburn,Glasgow Springburn,138,110,137,167,112,70,80,88
S01003573,Springburn,Springburn,Glasgow Springburn,523,745,579,590,290,286,228,221
S01003574,Ruchill,Canal,Glasgow Maryhill,4638,4892,5311,5259,625,622,646,639
S01003575,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,290,533,644,802,207,241,241,260
S01003576,Kelvinside and Jordanhill,Hillhead,Glasgow Kelvin,4667,4308,5051,5224,628,591,631,637
S01003577,Barmulloch,North East,Glasgow Springburn,513,535,658,790,287,242,244,256
S01003578,Barmulloch,North East,Glasgow Springburn,105,139,271,678,88,84,136,237
S01003579,Keppochhill,Canal,Glasgow Maryhill,41,14,19,26,36,10,13,18
S01003580,Springburn East and Cowlairs,Springburn,Glasgow Springburn,541,718,1093,1073,296,283,323,306
S01003581,Ruchill,Canal,Glasgow Maryhill,2000,2568,3309,2855,476,483,522,487
S01003582,Possil Park,Canal,Glasgow Maryhill,3,2,4,2,3,1,3,1
S01003583,Blackhill and Barmulloch East,North East,Glasgow Springburn,204,306,357,229,159,159,168,117
S01003584,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,264,505,276,506,192,233,138,199
S01003585,Ruchill,Maryhill/Kelvin,Glasgow Maryhill,263,539,1129,707,191,243,330,245
S01003586,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,677,1416,1055,1033,330,377,314,302
S01003587,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,6454,6448,6462,6387,694,693,693,691
S01003588,Robroyston and Millerston,North East,Glasgow Springburn,3329,3800,4090,4022,562,562,572,566
S01003589,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,6226,6389,6284,6366,689,692,688,688
S01003590,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,514,420,707,515,288,206,256,201
S01003591,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,6062,6283,6332,6132,685,688,689,682
S01003592,Ruchill,Canal,Glasgow Maryhill,273,608,750,685,196,261,266,240
S01003593,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Anniesland,837,809,1357,1945,358,299,358,412
S01003594,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,5193,5517,5748,5981,654,664,674,677
S01003595,Possil Park,Canal,Glasgow Maryhill,2,22,5,29,2,17,4,20
S01003596,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,137,108,88,73,111,68,52,44
S01003597,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,4540,5037,4905,5841,619,633,621,672
S01003598,Barmulloch,North East,Glasgow Springburn,705,1040,1194,1187,335,341,338,324
S01003599,Possil Park,Canal,Glasgow Maryhill,624,483,745,1013,318,225,264,296
S01003600,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,219,203,116,76,168,118,68,46
S01003601,Springburn East and Cowlairs,Springburn,Glasgow Springburn,361,475,206,178,238,222,106,96
